mode,scenario,run,warmup,traced,pointerMoves,canvasFrames,peakEstimatedActiveStamps,renderDurationP50Ms,renderDurationP95Ms,renderDurationMaxMs,frameIntervalP50Ms,frameIntervalP95Ms,frameIntervalMaxMs,frameIntervalsOver20Ms,longTaskCount,longTaskMaxMs,heapDeltaAfterGc
native,idle,1,true,false,0,0,0,,,,,,,0,0,,1135624
native,idle,2,false,false,0,0,0,,,,,,,0,0,,1046748
native,idle,3,false,true,0,0,0,,,,,,,0,0,,1196860
native,idle,4,false,false,0,0,0,,,,,,,0,0,,1046748
native,idle,5,false,false,0,0,0,,,,,,,0,0,,1046748
native,click,1,true,false,0,1443,5,0.2,0.3,0.5,8.3,10.1,11.2,0,0,,1417760
native,click,2,false,false,0,1443,5,0.2,0.3,0.5,8.3,10.2,11.5,0,0,,1405536
native,click,3,false,true,0,1436,5,0.1,0.2,0.3,8.3,10.2,11.7,0,0,,1573600
native,click,4,false,false,0,1443,5,0.2,0.3,0.5,8.3,10.2,10.8,0,0,,1410212
native,click,5,false,false,0,1445,5,0.2,0.4,0.7,8.3,10.2,10.8,0,0,,1410372
native,slow-drag,1,true,false,300,1490,110,1.1,1.3,1.9,8.3,10.2,11.3,0,0,,1248392
native,slow-drag,2,false,false,300,1489,110,1.1,1.3,1.9,8.3,10.3,11.1,0,0,,1248344
native,slow-drag,3,false,true,300,1490,110,1.2,1.4,2.1,8.3,10.2,10.9,0,0,,1412300
native,slow-drag,4,false,false,300,1490,110,1.1,1.3,2.5,8.3,10.2,10.8,0,0,,1250704
native,slow-drag,5,false,false,300,1490,110,1.1,1.3,1.9,8.3,10.3,10.8,0,0,,1250764
native,fast-drag,1,true,false,320,1218,440,4.5,4.7,6.5,11,11.9,14.1,0,0,,1235204
native,fast-drag,2,false,false,320,1243,440,4.2,4.6,6,10.4,12.1,13.7,0,0,,1235264
native,fast-drag,3,false,true,320,1238,440,4.6,4.8,6.6,10.5,12.2,41.3,1,0,,1392268
native,fast-drag,4,false,false,320,1245,440,4.2,4.6,6.7,10.4,12.1,13.9,0,0,,1233760
native,fast-drag,5,false,false,320,1242,440,4.2,4.6,7.4,10.5,12.1,15.5,0,0,,1233728
native,decay,1,true,false,160,782,440,3.1,4.7,5.9,9.1,11.7,13.3,0,0,,1218208
native,decay,2,false,false,160,777,440,3.1,4.8,6.4,9,11.9,16,0,0,,1220620
native,decay,3,false,true,160,784,440,3.3,5,8.3,9.3,11.9,13.8,0,0,,1381960
native,decay,4,false,false,160,786,440,3.1,4.7,5.8,9.1,11.9,14,0,0,,1218228
native,decay,5,false,false,160,790,440,3,4.6,6.2,9,11.7,13.8,0,0,,1220600
4x,idle,1,true,false,0,0,0,,,,,,,0,0,,1134388
4x,idle,2,false,false,0,0,0,,,,,,,0,0,,1129168
4x,idle,3,false,true,0,0,0,,,,,,,0,0,,1194692
4x,idle,4,false,false,0,0,0,,,,,,,0,0,,1045512
4x,idle,5,false,false,0,0,0,,,,,,,0,0,,1045512
4x,click,1,true,false,0,1439,5,0.1,0.4,1.3,8.3,10.1,46.4,1,0,,1414312
4x,click,2,false,false,0,1442,5,0.1,0.4,1.2,8.3,10,12.9,0,0,,1412492
4x,click,3,false,true,0,1444,5,0.1,0.6,2,8.3,9.7,14,0,0,,1581368
4x,click,4,false,false,0,1441,5,0.1,0.3,1.1,8.3,10.1,11.6,0,0,,1412468
4x,click,5,false,false,0,1441,5,0.1,0.4,1,8.3,10.1,11.9,0,0,,1412468
4x,slow-drag,1,true,false,300,1490,110,4.4,5.2,7.6,8.3,10.3,12.6,0,0,,1263152
4x,slow-drag,2,false,false,300,1490,110,4,4.8,7.4,8.3,10.3,13.2,0,0,,1263152
4x,slow-drag,3,false,true,300,1488,110,4.8,5.8,9.4,8.1,10.6,18,0,0,,1419440
4x,slow-drag,4,false,false,300,1490,110,4.3,5.1,7.7,8.3,10.4,13.1,0,0,,1263152
4x,slow-drag,5,false,false,300,1490,110,3.9,4.8,6.5,8.3,10.3,12.3,0,0,,1263152
4x,fast-drag,1,true,false,320,689,440,14.2,19.4,22.9,18.8,27.1,32.5,336,0,,1234272
4x,fast-drag,2,false,false,320,689,440,14.3,19.4,25.7,19.3,27,32.5,336,0,,1236244
4x,fast-drag,3,false,true,320,648,440,14.7,20.7,25.2,20.6,29,34.4,326,0,,1391008
4x,fast-drag,4,false,false,320,690,440,14.2,19.4,25.1,18.9,26.9,32.4,337,0,,1234272
4x,fast-drag,5,false,false,320,689,440,14.2,19.4,23.7,19.2,27.1,31.4,337,0,,1234272
4x,decay,1,true,false,160,497,440,8.5,19.1,26.7,11.6,26.4,32,143,0,,1225028
4x,decay,2,false,false,160,498,440,8.6,19,25.8,11.8,26.4,32.4,145,0,,1225028
4x,decay,3,false,true,160,470,439,8.8,20.8,30.8,12.2,28.8,36.4,144,0,,1381628
4x,decay,4,false,false,160,498,440,8.4,19.1,26.9,11.5,26.5,32.6,142,0,,1225016
4x,decay,5,false,false,160,498,440,8.5,19.2,27.2,11.4,26.8,31.7,141,0,,1225028
