mode,scenario,runs,pointerMovesMedian,canvasFramesMedian,peakActiveMedian,peakActiveRange,renderP95MedianMs,renderP95RangeMs,intervalP95MedianMs,intervalP95RangeMs,intervalsOver20Median,longTasksMedian,longTasksRange,heapDeltaAfterGcMedian
native,idle,4,0,0,0,0~0,,~,,~,0,0,0~0,1046748
native,click,4,0,1443,5,5~5,0.3,0.2~0.4,10.2,10.2~10.2,0,0,0~0,1410292
native,slow-drag,4,300,1490,110,110~110,1.3,1.3~1.4,10.25,10.2~10.3,0,0,0~0,1250734
native,fast-drag,4,320,1242.5,440,440~440,4.6,4.6~4.8,12.1,12.1~12.2,0,0,0~0,1234512
native,decay,4,160,785,440,440~440,4.75,4.6~5,11.9,11.7~11.9,0,0,0~0,1220610
4x,idle,4,0,0,0,0~0,,~,,~,0,0,0~0,1087340
4x,click,4,0,1441.5,5,5~5,0.4,0.3~0.6,10.05,9.7~10.1,0,0,0~0,1412480
4x,slow-drag,4,300,1490,110,110~110,4.95,4.8~5.8,10.35,10.3~10.6,0,0,0~0,1263152
4x,fast-drag,4,320,689,440,440~440,19.4,19.4~20.7,27.05,26.9~29,336.5,0,0~0,1235258
4x,decay,4,160,498,440,439~440,19.15,19~20.8,26.65,26.4~28.8,143,0,0~0,1225028
